Title,Authors,Publication Year,DOI,DB,Población estudiada,Método de DL usado,"Datos emocionales usados (facial, voz, texto)",Emociones descritas,Técnicas de IA utilizadas,Base de datos,Árbol de emociones,Resultados principales,Limitaciones,Estado
a risk calculator to predict adult attention-deficit/hyperactivity disorder: generation and external validation in three birth cohorts and one clinical sample,"Caye A, Agnew-Blais J, Arseneault L, Gonçalves H, Kieling C, Langley K, Menezes AMB, Moffitt TE, Passos IC, Rocha TB, Sibley MH, Swanson JM, Thapar A, Wehrmeister F, Rohde LA.",2019,10.1017/S2045796019000283,PubMed,,,,,,,,,,
"a scoping review of functional near-infrared spectroscopy biomarkers in late-life depression: depressive symptoms, cognitive functioning, and social functioning","Tong Y, Wang Q, Wang X, Xiang Y, Cheng L, Hu X, Chen Y, Huo L, Xu Y, Liu S.",2024,10.1016/j.pscychresns.2024.111810,PubMed,,,,,,,,,,
a shrewd artificial neural network-based hybrid model for pervasive stress detection of students using galvanic skin response and electrocardiogram signals,"Tiwari S, Agarwal S.",2021,10.1089/big.2020.0256,PubMed,,,,,,,,,,
a social-interactive neuroscience approach to understanding the developing brain,"Redcay E, Warnell KR.",2018,10.1016/bs.acdb.2017.10.001,PubMed,,,,,,,,,,
a spatial-temporal graph model for pronunciation feature prediction of chinese poetry,"Wang Q, Liu W, Wang X, Chen X, Chen G, Wu Q.",2023,10.1109/TNNLS.2022.3165554,PubMed,,,,,,,,,,
a step towards eeg-based brain computer interface for autism intervention,"Fan J, Wade JW, Bian D, Key AP, Warren ZE, Mion LC, Sarkar N.",2015,10.1109/EMBC.2015.7319213,PubMed,,,,,,,,,,
a study on the effects of traditional and olfaction enhanced multimedia on pleasantness classification based on brain activity analysis,"Raheel A, Majid M, Anwar SM.",2019,10.1016/j.compbiomed.2019.103469,PubMed,,,,,,,,,,
a study using visual art methods to explore the perceptions and barriers of self-management in children and adolescents with lymphedema,"Moffatt C, Aubeeluck A, Stasi E, Mestre S, Rowan S, Murray S, Quere I.",2019,10.1089/lrb.2018.0075,PubMed,,,,,,,,,,
"a survey of deep learning-based multimodal emotion recognition: speech, text, and face","Lian H, Lu C, Li S, Zhao Y, Tang C, Zong Y.",2023,10.3390/e25101440,PubMed,,,,,,,,,,
a susceptible period of photic day-night rhythm loss in common marmoset social behavior development,"Koshiba M, Watarai-Senoo A, Karino G, Ozawa S, Kamei Y, Honda Y, Tanaka I, Kodama T, Usui S, Tokuno H.",2021,10.3389/fnbeh.2020.539411,PubMed,,,,,,,,,,
a synergistic mindsets intervention protects adolescents from stress,"Yeager DS, Bryan CJ, Gross JJ, Murray JS, Krettek Cobb D, H F Santos P, Gravelding H, Johnson M, Jamieson JP.",2022,10.1038/s41586-022-04907-7,PubMed,,,,,,,,,,
a wearable artificial intelligence feedback tool (wrist angel) for treatment and research of obsessive compulsive disorder: protocol for a nonrandomized pilot study,"Lønfeldt NN, Clemmensen LKH, Pagsberg AK.",2023,10.2196/45123,PubMed,,,,,,,,,,
aberrant brain network topology in youth with a familial risk for bipolar disorder: a task-based fmri connectome study,"Pan N, Qin K, Patino LR, Tallman MJ, Lei D, Lu L, Li W, Blom TJ, Bruns KM, Welge JA, Strawn JR, Gong Q, Sweeney JA, Singh MK, DelBello MP.",2024,10.1111/jcpp.13946,PubMed,,,,,,,,,,
aberrant limbic brain structures in young individuals at risk for mental illness,"Nogovitsyn N, Souza R, Muller M, Srajer A, Metzak PD, Hassel S, Ismail Z, Protzner A, Bray SL, Lebel C, MacIntosh BJ, Goldstein BI, Wang J, Kennedy SH, Addington J, MacQueen GM.",2020,10.1111/pcn.12985,PubMed,,,,,,,,,,
aberrant pace of cortical neuron development in brain organoids from patients with 22q11.2 deletion syndrome and schizophrenia,"Rao SB, Brundu F, Chen Y, Sun Y, Zhu H, Shprintzen RJ, Tomer R, Rabadan R, Leong KW, Markx S, Xu B, Gogos JA.",2023,10.1101/2023.10.04.557612,PubMed,,,,,,,,,,
abnormal activation of the social brain network in children with autism spectrum disorder: an fmri study,"Kim SY, Choi US, Park SY, Oh SH, Yoon HW, Koh YJ, Im WY, Park JI, Song DH, Cheon KA, Lee CU.",2015,10.4306/pi.2015.12.1.37,PubMed,,,,,,,,,,
abnormal brain circuits characterize borderline personality and mediate the relationship between childhood traumas and symptoms: a mcca+jica and random forest approach,"Grecucci A, Dadomo H, Salvato G, Lapomarda G, Sorella S, Messina I.",2023,10.3390/s23052862,PubMed,,,,,,,,,,
abnormal early dynamic individual patterns of functional networks in low gamma band for depression recognition,"Bi K, Chattun MR, Liu X, Wang Q, Tian S, Zhang S, Lu Q, Yao Z.",2018,10.1016/j.jad.2018.05.078,PubMed,,,,,,,,,,
abstract computation in schizophrenia detection through artificial neural network based systems,"Cardoso L, Marins F, Magalhães R, Marins N, Oliveira T, Vicente H, Abelha A, Machado J, Neves J.",2015,10.1155/2015/467178,PubMed,,,,,,,,,,
accurate neuroimaging biomarkers to predict body mass index in adolescents: a longitudinal study,"Park BY, Chung CS, Lee MJ, Park H.",2020,10.1007/s11682-019-00101-y,PubMed,,,,,,,,,,
activity-dependent organization of prefrontal hub-networks for associative learning and signal transformation,"Agetsuma M, Sato I, Tanaka YR, Carrillo-Reid L, Kasai A, Noritake A, Arai Y, Yoshitomo M, Inagaki T, Yukawa H, Hashimoto H, Nabekura J, Nagai T.",2023,10.1038/s41467-023-41547-5,PubMed,,,,,,,,,,
adapting multiple distributions for bridging emotions from different speech corpora,"Zong Y, Lian H, Chang H, Lu C, Tang C.",2022,10.3390/e24091250,PubMed,,,,,,,,,,
adolescent depression detection model based on multimodal data of interview audio and text,"Zhang L, Fan Y, Jiang J, Li Y, Zhang W.",2022,10.1142/S0129065722500459,PubMed,,,,,,,,,,
adolescent exposure to δ(9)-tetrahydrocannabinol alters the transcriptional trajectory and dendritic architecture of prefrontal pyramidal neurons,"Miller ML, Chadwick B, Dickstein DL, Purushothaman I, Egervari G, Rahman T, Tessereau C, Hof PR, Roussos P, Shen L, Baxter MG, Hurd YL.",2019,10.1038/s41380-018-0243-x,PubMed,,,,,,,,,,
"adolescent nicotine exposure induces long-term, sex-specific disturbances in mood and anxiety-related behavioral, neuronal and molecular phenotypes in the mesocorticolimbic system","Ng THJ, Sarikahya MH, Hudson R, Szkudlarek HJ, Pérez-Valenzuela E, Uzuneser TC, Proud E, Gummerson D, Youssef M, Machado M, Zhaksylyk K, DeVuono MV, Chen C, Yeung KK, Rushlow WJ, Laviolette SR.",2024,10.1038/s41386-024-01853-y,PubMed,,,,,,,,,,
adolescent nicotine induces persisting changes in development of neural connectivity,"Smith RF, McDonald CG, Bergstrom HC, Ehlinger DG, Brielmaier JM.",2015,10.1016/j.neubiorev.2015.05.019,PubMed,,,,,,,,,,
"adolescent, parent, and provider attitudes toward a machine learning based clinical decision support system for selecting treatment for youth depression","Gunlicks-Stoessel M, Liu Y, Parkhill C, Morrell N, Choy-Brown M, Mehus C, Hetler J, August G.",2024,10.1186/s12911-023-02410-1,PubMed,,,,,,,,,,
advances in photobiomodulation for cognitive improvement by near-infrared derived multiple strategies,"Pan WT, Liu PM, Ma D, Yang JJ.",2023,10.1186/s12967-023-03988-w,PubMed,,,,,,,,,,
"adverse childhood experiences, sexual orientation, and depressive symptoms among chinese college students: an ecological framework analysis","Chen M, Tian N, Chang Q.",2022,10.1016/j.chiabu.2022.105881,PubMed,,,,,,,,,,
affective communication for socially assistive robots (sars) for children with autism spectrum disorder: a systematic review,"Cano S, González CS, Gil-Iranzo RM, Albiol-Pérez S.",2021,10.3390/s21155166,PubMed,,,,,,,,,,
ai in child psychiatry: exploring future tools for the detection and management of mental disorders in children and adolescents,"Till AC, Briganti G.",2023,,PubMed,,,,,,,,,,
ai technology panic-is ai dependence bad for mental health? a cross-lagged panel model and the mediating roles of motivations for ai use among adolescents,"Huang S, Lai X, Ke L, Li Y, Wang H, Zhao X, Dai X, Wang Y.",2024,10.2147/PRBM.S440889,PubMed,,,,,,,,,,
ambulatory smoking habits investigation based on physiology and context (assist) using wearable sensors and mobile phones: protocol for an observational study,"Zhai D, Schiavone G, Van Diest I, Vrieze E, DeRaedt W, Van Hoof C.",2019,10.1136/bmjopen-2018-028284,PubMed,,,,,,,,,,
"amygdala-prefrontal cortex white matter tracts are widespread, variable and implicated in amygdala modulation in adolescents","Goetschius LG, Hein TC, Mattson WI, Lopez-Duran N, Dotterer HL, Welsh RC, Mitchell C, Hyde LW, Monk CS.",2019,10.1016/j.neuroimage.2019.02.009,PubMed,,,,,,,,,,
an ai-enabled internet of things based autism care system for improving cognitive ability of children with autism spectrum disorders,"Abdel Hameed M, Hassaballah M, Hosney ME, Alqahtani A.",2022,10.1155/2022/2247675,PubMed,,,,,,,,,,
an amygdala-centered hyper-connectivity signature of threatening face processing predicts anxiety in youths with autism spectrum conditions,"Chen YC, Chen C, Martínez RM, Fan YT, Liu CC, Chen CY, Cheng Y.",2021,10.1002/aur.2595,PubMed,,,,,,,,,,
"an artificial intelligence tool to assess the risk of severe mental distress among college students in terms of demographics, eating habits, lifestyles, and sport habits: an externally validated study using machine learning","Zhang L, Zhao S, Yang Z, Zheng H, Lei M.",2024,10.1186/s12888-024-06017-2,PubMed,,,,,,,,,,
an assessment of risk factors of delayed speech and language in children: a cross-sectional study,"Kumar A, Zubair M, Gulraiz A, Kalla S, Khan S, Patel S, Fleming MF, Oghomitse-Omene PT, Patel P, Qavi MSS.",2022,10.7759/cureus.29623,PubMed,,,,,,,,,,
an emotional modulation model as signature for the identification of children developmental disorders,"Mencattini A, Mosciano F, Comes MC, Di Gregorio T, Raguso G, Daprati E, Ringeval F, Schuller B, Di Natale C, Martinelli E.",2018,10.1038/s41598-018-32454-7,PubMed,,,,,,,,,,
an empirical analysis of structural neuroimaging profiles in a staging model of depression,"Nogovitsyn N, Ballester P, Lasby M, Dunlop K, Ceniti AK, Squires S, Rowe J, Ho K, Suh J, Hassel S, Souza R, Casseb RF, Harris JK, Zamyadi M, Arnott SR, Strother SC, Hall G, Lam RW, Poppenk J, Lebel C, Bray S, Metzak P, MacIntosh BJ, Goldstein BI, Wang J, Rizvi SJ, MacQueen G, Addington J, Harkness KL, Rotzinger S, Kennedy SH, Frey BN.",2024,10.1016/j.jad.2024.01.246,PubMed,,,,,,,,,,
an evaluation of online edcraft gamified learning (egl) to understand motivation and intention of recycling among youth,"Cheng KM, Koo AC, Nasir JSBM, Wong SY.",2022,10.1038/s41598-022-15709-2,PubMed,,,,,,,,,,
an explanatory study of factors influencing engagement in ai education at the k-12 level: an extension of the classic tam model,"Li W, Zhang X, Li J, Yang X, Li D, Liu Y.",2024,10.1038/s41598-024-64363-3,PubMed,,,,,,,,,,
an exploratory application of machine learning methods to optimize prediction of responsiveness to digital interventions for eating disorder symptoms,"Linardon J, Fuller-Tyszkiewicz M, Shatte A, Greenwood CJ.",2022,10.1002/eat.23733,PubMed,,,,,,,,,,
analysis of shared heritability in common disorders of the brain,"Brainstorm Consortium; Anttila V, Bulik-Sullivan B, Finucane HK, Walters RK, Bras J, Duncan L, Escott-Price V, Falcone GJ, Gormley P, Malik R, Patsopoulos NA, Ripke S, Wei Z, Yu D, Lee PH, Turley P, Grenier-Boley B, Chouraki V, Kamatani Y, Berr C, Letenneur L, Hannequin D, Amouyel P, Boland A, Deleuze JF, Duron E, Vardarajan BN, Reitz C, Goate AM, Huentelman MJ, Kamboh MI, Larson EB, Rogaeva E, St George-Hyslop P, Hakonarson H, Kukull WA, Farrer LA, Barnes LL, Beach TG, Demirci FY, Head E, Hulette CM, Jicha GA, Kauwe JSK, Kaye JA, Leverenz JB, Levey AI, Lieberman AP, Pankratz VS, Poon WW, Quinn JF, Saykin AJ, Schneider LS, Smith AG, Sonnen JA, Stern RA, Van Deerlin VM, Van Eldik LJ, Harold D, Russo G, Rubinsztein DC, Bayer A, Tsolaki M, Proitsi P, Fox NC, Hampel H, Owen MJ, Mead S, Passmore P, Morgan K, Nöthen MM, Rossor M, Lupton MK, Hoffmann P, Kornhuber J, Lawlor B, McQuillin A, Al-Chalabi A, Bis JC, Ruiz A, Boada M, Seshadri S, Beiser A, Rice K, van der Lee SJ, De Jager PL, Geschwind DH, Riemenschneider M, Riedel-Heller S, Rotter JI, Ransmayr G, Hyman BT, Cruchaga C, Alegret M, Winsvold B, Palta P, Farh KH, Cuenca-Leon E, Furlotte N, et al.",2018,10.1126/science.aap8757,PubMed,,,,,,,,,,
analysis of the hikikomori phenomenon - an international infodemiology study of twitter data in portuguese,"Correia Lopes F, Pinto da Costa M, Fernandez-Lazaro CI, Lara-Abelenda FJ, Pereira-Sanchez V, Teo AR, Alvarez-Mon MA.",2024,10.1186/s12889-023-17617-0,PubMed,,,,,,,,,,
anhedonia as a potential transdiagnostic phenotype with immune-related changes in recent-onset mental health disorders,"Lalousis PA, Malaviya A, Khatibi A, Saberi M, Kambeitz-Ilankovic L, Haas SS, Wood SJ, Barnes NM, Rogers J, Chisholm K, Bertolino A, Borgwardt S, Brambilla P, Kambeitz J, Lencer R, Pantelis C, Ruhrmann S, Salokangas RKR, Schultze-Lutter F, Schmidt A, Meisenzahl E, Dwyer D, Koutsouleris N, Upthegrove R, Griffiths SL; PRONIA Consortium.",2024,10.1016/j.biopsych.2024.05.019,PubMed,,,,,,,,,,
annual research review: developmental computational psychiatry,"Hauser TU, Will GJ, Dubois M, Dolan RJ.",2019,10.1111/jcpp.12964,PubMed,,,,,,,,,,
anticipating influential factors on suicide outcomes through machine learning techniques: insights from a suicide registration program in western iran,"Matinnia N, Alafchi B, Haddadi A, Ghaleiha A, Davari H, Karami M, Taslimi Z, Afkhami MR, Yazdi-Ravandi S.",2024,10.1016/j.ajp.2024.104183,PubMed,,,,,,,,,,
antidepressant-like effects of urb597 and jzl184 in male and female rats exposed to early life stress,"Alteba S, Mizrachi Zer-Aviv T, Tenenhaus A, Ben David G, Adelman J, Hillard CJ, Doron R, Akirav I.",2020,10.1016/j.euroneuro.2020.08.005,PubMed,,,,,,,,,,
anxiety in young people: analysis from a machine learning model,"Tabares Tabares M, Vélez Álvarez C, Bernal Salcedo J, Murillo Rendón S.",2024,10.1016/j.actpsy.2024.104410,PubMed,,,,,,,,,,
anxiety is related to slower rsa oscillation during stress response and regulation,"Zhang C, Lu J, Gao G, Cui J, Li M, Zang Y, Yang J, Wang L.",2024,10.1111/psyp.14654,PubMed,,,,,,,,,,
anxiety onset in adolescents: a machine-learning prediction,"Chavanne AV, Paillère Martinot ML, Penttilä J, Grimmer Y, Conrod P, Stringaris A, van Noort B, Isensee C, Becker A, Banaschewski T, Bokde ALW, Desrivières S, Flor H, Grigis A, Garavan H, Gowland P, Heinz A, Brühl R, Nees F, Papadopoulos Orfanos D, Paus T, Poustka L, Hohmann S, Millenet S, Fröhner JH, Smolka MN, Walter H, Whelan R, Schumann G, Martinot JL, Artiges E; IMAGEN consortium.",2023,10.1038/s41380-022-01840-z,PubMed,,,,,,,,,,
appraisalcloudpct: a computational model of emotions for socially interactive robots for autistic rehabilitation,"Yan T, Lin S, Wang J, Deng F, Jiang Z, Chen G, Su J, Zhang J.",2023,10.1155/2023/5960764,PubMed,,,,,,,,,,
apt and actionable possible identities matter: the case of academic outcomes,"O'Donnell SC, Oyserman D.",2023,10.1002/jad.12118,PubMed,,,,,,,,,,
arash: a social robot buddy to support children with cancer in a hospital environment,"Meghdari A, Shariati A, Alemi M, Vossoughi GR, Eydi A, Ahmadi E, Mozafari B, Amoozandeh Nobaveh A, Tahami R.",2018,10.1177/0954411918777520,PubMed,,,,,,,,,,
artie: an integrated environment for the development of affective robot tutors,"Imbernón Cuadrado LE, Manjarrés Riesco Á, De La Paz López F.",2016,10.3389/fncom.2016.00077,PubMed,,,,,,,,,,
artificial intelligence as an analytic approximation to evaluate associations between parental feeding behaviours and excess weight in colombian preschoolers,"Gamboa EM, Amaya CI, Bahamonde A.",2021,10.1017/S0007114520003797,PubMed,,,,,,,,,,
artificial intelligence based facial recognition for mood charting among men on life style modification and it's correlation with cortisol,"Gowda R, Poojary BV, Sharma M, Prakash K, Gowda N, H C.",2019,10.1016/j.ajp.2019.05.017,PubMed,,,,,,,,,,
artificial intelligence in the analysis of emotions of nursing students undergoing clinical simulation,"Leon CGRMP, Mano LY, Fernandes DDS, Paula RAP, Brasil GDC, Ribeiro LM.",2023,10.1590/0034-7167-2021-0909,PubMed,,,,,,,,,,
